Home Team,Away Team,HT Goals,AT Goals,Match Result,HT Avg Scored Goals,HT Avg Conceded Goals,HT GF,HT GA,AT Avg Scored Goals,AT Avg Conceded Goals,AT GF,AT GA
1,17,2,0,H,2.5,0.6052631579,95,23,0.9210526316,1.578947368,35,60
13,9,0,2,A,1.105263158,1.263157895,42,48,1.342105263,1.263157895,51,48
10,6,3,1,H,1.368421053,1.447368421,52,55,1.710526316,1.421052632,65,54
7,16,2,0,H,1.236842105,1.210526316,47,46,1.184210526,1.710526316,45,65
18,15,1,2,A,0.8947368421,1.815789474,34,69,1.184210526,1.789473684,45,68
14,12,2,1,H,1.473684211,1.842105263,56,70,1.342105263,1.394736842,51,53
17,10,1,0,H,0.9210526316,1.578947368,35,60,1.368421053,1.447368421,52,55
15,20,1,1,D,1.184210526,1.789473684,45,68,0.5789473684,2,22,76
12,7,0,1,A,1.342105263,1.394736842,51,53,1.236842105,1.210526316,47,46
9,8,1,2,A,1.342105263,1.263157895,51,48,1.421052632,1.210526316,54,46
6,13,3,2,H,1.710526316,1.421052632,65,54,1.105263158,1.263157895,42,48
4,18,1,0,H,1.763157895,1.026315789,67,39,0.8947368421,1.815789474,34,69
11,14,0,4,A,1.368421053,1.552631579,52,59,1.473684211,1.842105263,56,70
19,5,1,5,A,0.8947368421,2.131578947,34,81,1.921052632,1.342105263,73,51
2,1,0,0,D,2.342105263,0.5789473684,89,22,2.5,0.6052631579,95,23
16,3,0,3,A,1.184210526,1.710526316,45,65,1.657894737,1.026315789,63,39
14,16,0,0,D,1.473684211,1.842105263,56,70,1.184210526,1.710526316,45,65
18,19,4,2,H,0.8947368421,1.815789474,34,69,0.8947368421,2.131578947,34,81
3,6,2,2,D,1.657894737,1.026315789,63,39,1.710526316,1.421052632,65,54
20,2,0,1,A,0.5789473684,2,22,76,2.342105263,0.5789473684,89,22
1,15,5,0,H,2.5,0.6052631579,95,23,1.184210526,1.789473684,45,68
13,17,0,1,A,1.105263158,1.263157895,42,48,0.9210526316,1.578947368,35,60
10,4,0,1,A,1.368421053,1.447368421,52,55,1.763157895,1.026315789,67,39
7,11,0,2,A,1.236842105,1.210526316,47,46,1.368421053,1.552631579,52,59
8,12,2,0,H,1.421052632,1.210526316,54,46,1.342105263,1.394736842,51,53
5,9,3,1,H,1.921052632,1.342105263,73,51,1.342105263,1.263157895,51,48
17,7,1,0,H,0.9210526316,1.578947368,35,60,1.236842105,1.210526316,47,46
19,14,0,3,A,0.8947368421,2.131578947,34,81,1.473684211,1.842105263,56,70
9,10,1,1,D,1.342105263,1.263157895,51,48,1.368421053,1.447368421,52,55
2,18,4,1,H,2.342105263,0.5789473684,89,22,0.8947368421,1.815789474,34,69
16,13,0,0,D,1.184210526,1.710526316,45,65,1.105263158,1.263157895,42,48
11,20,3,0,H,1.368421053,1.552631579,52,59,0.5789473684,2,22,76
15,3,0,4,A,1.184210526,1.789473684,45,68,1.657894737,1.026315789,63,39
12,5,2,2,D,1.342105263,1.394736842,51,53,1.921052632,1.342105263,73,51
6,8,2,1,H,1.710526316,1.421052632,65,54,1.421052632,1.210526316,54,46
4,1,0,1,A,1.763157895,1.026315789,67,39,2.5,0.6052631579,95,23
5,2,1,1,D,1.921052632,1.342105263,73,51,2.342105263,0.5789473684,89,22
14,6,1,2,A,1.473684211,1.842105263,56,70,1.710526316,1.421052632,65,54
18,9,0,1,A,0.8947368421,1.815789474,34,69,1.342105263,1.263157895,51,48
8,17,3,1,H,1.421052632,1.210526316,54,46,0.9210526316,1.578947368,35,60
13,11,1,0,H,1.105263158,1.263157895,42,48,1.368421053,1.552631579,52,59
10,15,4,2,H,1.368421053,1.447368421,52,55,1.184210526,1.789473684,45,68
7,4,2,3,A,1.236842105,1.210526316,47,46,1.763157895,1.026315789,67,39
3,12,3,1,H,1.657894737,1.026315789,63,39,1.342105263,1.394736842,51,53
1,16,6,1,H,2.5,0.6052631579,95,23,1.184210526,1.710526316,45,65
20,19,1,0,H,0.5789473684,2,22,76,0.8947368421,2.131578947,34,81
18,17,2,1,H,0.8947368421,1.815789474,34,69,0.9210526316,1.578947368,35,60
12,4,0,1,A,1.342105263,1.394736842,51,53,1.763157895,1.026315789,67,39
20,10,1,1,D,0.5789473684,2,22,76,1.368421053,1.447368421,52,55
9,15,0,0,D,1.342105263,1.263157895,51,48,1.184210526,1.789473684,45,68
13,14,2,1,H,1.105263158,1.263157895,42,48,1.473684211,1.842105263,56,70
16,11,1,1,D,1.184210526,1.710526316,45,65,1.368421053,1.552631579,52,59
5,7,1,1,D,1.921052632,1.342105263,73,51,1.236842105,1.210526316,47,46
3,8,0,0,D,1.657894737,1.026315789,63,39,1.421052632,1.210526316,54,46
2,19,2,0,H,2.342105263,0.5789473684,89,22,0.8947368421,2.131578947,34,81
1,6,3,1,H,2.5,0.6052631579,95,23,1.710526316,1.421052632,65,54
17,9,1,1,D,0.9210526316,1.578947368,35,60,1.342105263,1.263157895,51,48
8,18,1,0,H,1.421052632,1.210526316,54,46,0.8947368421,1.815789474,34,69
19,16,3,2,H,0.8947368421,2.131578947,34,81,1.184210526,1.710526316,45,65
6,12,0,0,D,1.710526316,1.421052632,65,54,1.342105263,1.394736842,51,53
4,3,3,1,H,1.763157895,1.026315789,67,39,1.657894737,1.026315789,63,39
11,2,0,3,A,1.368421053,1.552631579,52,59,2.342105263,0.5789473684,89,22
10,1,0,4,A,1.368421053,1.447368421,52,55,2.5,0.6052631579,95,23
14,5,1,2,A,1.473684211,1.842105263,56,70,1.921052632,1.342105263,73,51
7,20,0,2,A,1.236842105,1.210526316,47,46,0.5789473684,2,22,76
15,13,1,2,A,1.184210526,1.789473684,45,68,1.105263158,1.263157895,42,48
18,7,2,1,H,0.8947368421,1.815789474,34,69,1.236842105,1.210526316,47,46
12,15,2,0,H,1.342105263,1.394736842,51,53,1.184210526,1.789473684,45,68
20,17,1,2,A,0.5789473684,2,22,76,0.9210526316,1.578947368,35,60
9,11,2,0,H,1.342105263,1.263157895,51,48,1.368421053,1.552631579,52,59
1,14,3,1,H,2.5,0.6052631579,95,23,1.473684211,1.842105263,56,70
13,10,0,3,A,1.105263158,1.263157895,42,48,1.368421053,1.447368421,52,55
16,6,2,2,D,1.184210526,1.710526316,45,65,1.710526316,1.421052632,65,54
5,4,4,2,H,1.921052632,1.342105263,73,51,1.763157895,1.026315789,67,39
3,19,2,0,H,1.657894737,1.026315789,63,39,0.8947368421,2.131578947,34,81
2,8,1,0,H,2.342105263,0.5789473684,89,22,1.421052632,1.210526316,54,46
14,20,2,1,H,1.473684211,1.842105263,56,70,0.5789473684,2,22,76
17,12,3,1,H,0.9210526316,1.578947368,35,60,1.342105263,1.394736842,51,53
11,1,1,2,A,1.368421053,1.552631579,52,59,2.5,0.6052631579,95,23
10,18,3,1,H,1.368421053,1.447368421,52,55,0.8947368421,1.815789474,34,69
15,2,1,3,A,1.184210526,1.789473684,45,68,2.342105263,0.5789473684,89,22
8,13,1,1,D,1.421052632,1.210526316,54,46,1.105263158,1.263157895,42,48
