Home Team,Away Team,HT Goals,AT Goals,Match Result,HT Avg Scored Goals,HT Avg Conceded Goals,HT GF,HT GA,AT Avg Scored Goals,AT Avg Conceded Goals,AT GF,AT GA
1,20,4,1,H,2.236842105,0.8684210526,85,33,0.6842105263,1.973684211,26,75
16,2,0,5,A,1.289473684,1.631578947,49,62,2.684210526,0.9210526316,102,35
18,9,1,1,D,1.052631579,1.710526316,40,65,1.026315789,1.026315789,39,39
10,11,3,0,H,1.131578947,1.315789474,43,50,1.342105263,1.578947368,51,60
14,12,0,0,D,0.8157894737,1.315789474,31,50,1.157894737,1.473684211,44,56
19,15,0,3,A,0.9473684211,1.684210526,36,64,1.026315789,1.421052632,39,54
6,17,3,1,H,1.605263158,1.236842105,61,47,1.078947368,1.763157895,41,67
5,7,0,0,D,1.763157895,1.078947368,67,41,1.342105263,1.052631579,51,40
13,8,0,1,A,1,1.526315789,38,58,1.473684211,1.263157895,56,48
3,4,4,0,H,1.736842105,0.9473684211,66,36,1.815789474,1.421052632,69,54
8,10,2,1,H,1.473684211,1.263157895,56,48,1.131578947,1.315789474,43,50
17,18,1,2,A,1.078947368,1.763157895,41,67,1.052631579,1.710526316,40,65
15,16,1,1,D,1.026315789,1.421052632,39,54,1.289473684,1.631578947,49,62
12,19,1,0,H,1.157894737,1.473684211,44,56,0.9473684211,1.684210526,36,64
20,13,3,1,H,0.6842105263,1.973684211,26,75,1,1.526315789,38,58
11,1,1,2,A,1.342105263,1.578947368,51,60,2.236842105,0.8684210526,85,33
2,6,2,2,D,2.684210526,0.9210526316,102,35,1.605263158,1.236842105,61,47
9,14,1,0,H,1.026315789,1.026315789,39,39,0.8157894737,1.315789474,31,50
4,5,1,1,D,1.815789474,1.421052632,69,54,1.763157895,1.078947368,67,41
7,3,1,1,D,1.342105263,1.052631579,51,40,1.736842105,0.9473684211,66,36
17,12,2,0,H,1.078947368,1.763157895,41,67,1.157894737,1.473684211,44,56
20,4,2,3,A,0.6842105263,1.973684211,26,75,1.815789474,1.421052632,69,54
15,11,0,2,A,1.026315789,1.421052632,39,54,1.342105263,1.578947368,51,60
3,14,1,2,A,1.736842105,0.9473684211,66,36,0.8157894737,1.315789474,31,50
