Home Team,Away Team,HT Goals,AT Goals,Match Result,HT Avg Scored Goals,HT Avg Conceded Goals,HT GF,HT GA,AT Avg Scored Goals,AT Avg Conceded Goals,AT GF,AT GA
9,5,1,2,A,1.026315789,1.026315789,39,39,1.763157895,1.078947368,67,41
19,16,1,3,A,0.9473684211,1.684210526,36,64,1.289473684,1.631578947,49,62
1,8,3,1,H,2.236842105,0.8684210526,85,33,1.473684211,1.263157895,56,48
18,2,1,3,A,1.052631579,1.710526316,40,65,2.684210526,0.9210526316,102,35
6,13,0,1,A,1.605263158,1.236842105,61,47,1,1.526315789,38,58
7,10,1,1,D,1.342105263,1.052631579,51,40,1.131578947,1.315789474,43,50
11,3,1,1,D,1.342105263,1.578947368,51,60,1.736842105,0.9473684211,66,36
4,9,2,2,D,1.815789474,1.421052632,69,54,1.026315789,1.026315789,39,39
14,17,1,0,H,0.8157894737,1.315789474,31,50,1.078947368,1.763157895,41,67
5,18,3,1,H,1.763157895,1.078947368,67,41,1.052631579,1.710526316,40,65
2,15,4,0,H,2.684210526,0.9210526316,102,35,1.026315789,1.421052632,39,54
13,19,1,1,D,1,1.526315789,38,58,0.9473684211,1.684210526,36,64
16,20,2,0,H,1.289473684,1.631578947,49,62,0.6842105263,1.973684211,26,75
10,1,0,3,A,1.131578947,1.315789474,43,50,2.236842105,0.8684210526,85,33
12,7,3,2,H,1.157894737,1.473684211,44,56,1.342105263,1.052631579,51,40
8,6,2,2,D,1.473684211,1.263157895,56,48,1.605263158,1.236842105,61,47
1,13,3,1,H,2.236842105,0.8684210526,85,33,1,1.526315789,38,58
15,10,1,1,D,1.026315789,1.421052632,39,54,1.131578947,1.315789474,43,50
3,5,1,0,H,1.736842105,0.9473684211,66,36,1.763157895,1.078947368,67,41
9,11,0,1,A,1.026315789,1.026315789,39,39,1.342105263,1.578947368,51,60
6,14,4,0,H,1.605263158,1.236842105,61,47,0.8157894737,1.315789474,31,50
7,4,2,5,A,1.342105263,1.052631579,51,40,1.815789474,1.421052632,69,54
20,2,3,2,H,0.6842105263,1.973684211,26,75,2.684210526,0.9210526316,102,35
18,12,3,1,H,1.052631579,1.710526316,40,65,1.157894737,1.473684211,44,56
19,8,2,2,D,0.9473684211,1.684210526,36,64,1.473684211,1.263157895,56,48
17,16,0,0,D,1.078947368,1.763157895,41,67,1.289473684,1.631578947,49,62
11,18,1,3,A,1.342105263,1.578947368,51,60,1.052631579,1.710526316,40,65
5,6,2,1,H,1.763157895,1.078947368,67,41,1.605263158,1.236842105,61,47
10,20,2,0,H,1.131578947,1.315789474,43,50,0.6842105263,1.973684211,26,75
12,9,0,2,A,1.157894737,1.473684211,44,56,1.026315789,1.026315789,39,39
2,19,8,0,H,2.684210526,0.9210526316,102,35,0.9473684211,1.684210526,36,64
13,15,0,0,D,1,1.526315789,38,58,1.026315789,1.421052632,39,54
14,7,1,1,D,0.8157894737,1.315789474,31,50,1.342105263,1.052631579,51,40
16,3,2,0,H,1.289473684,1.631578947,49,62,1.736842105,0.9473684211,66,36
8,17,3,2,H,1.473684211,1.263157895,56,48,1.078947368,1.763157895,41,67
4,1,1,2,A,1.815789474,1.421052632,69,54,2.236842105,0.8684210526,85,33
9,1,0,1,A,1.026315789,1.026315789,39,39,2.236842105,0.8684210526,85,33
17,10,2,2,D,1.078947368,1.763157895,41,67,1.131578947,1.315789474,43,50
18,16,2,2,D,1.052631579,1.710526316,40,65,1.289473684,1.631578947,49,62
4,15,2,0,H,1.815789474,1.421052632,69,54,1.026315789,1.421052632,39,54
14,20,2,0,H,0.8157894737,1.315789474,31,50,0.6842105263,1.973684211,26,75
6,11,2,1,H,1.605263158,1.236842105,61,47,1.342105263,1.578947368,51,60
7,19,2,0,H,1.342105263,1.052631579,51,40,0.9473684211,1.684210526,36,64
12,2,1,3,A,1.157894737,1.473684211,44,56,2.684210526,0.9210526316,102,35
5,13,5,0,H,1.763157895,1.078947368,67,41,1,1.526315789,38,58
3,8,1,1,D,1.736842105,0.9473684211,66,36,1.473684211,1.263157895,56,48
15,6,3,0,H,1.026315789,1.421052632,39,54,1.605263158,1.236842105,61,47
10,12,1,0,H,1.131578947,1.315789474,43,50,1.157894737,1.473684211,44,56
1,5,2,1,H,2.236842105,0.8684210526,85,33,1.763157895,1.078947368,67,41
20,17,1,5,A,0.6842105263,1.973684211,26,75,1.078947368,1.763157895,41,67
19,9,0,0,D,0.9473684211,1.684210526,36,64,1.026315789,1.026315789,39,39
16,14,1,2,A,1.289473684,1.631578947,49,62,0.8157894737,1.315789474,31,50
8,18,1,0,H,1.473684211,1.263157895,56,48,1.052631579,1.710526316,40,65
2,7,0,2,A,2.684210526,0.9210526316,102,35,1.342105263,1.052631579,51,40
11,4,1,4,A,1.342105263,1.578947368,51,60,1.815789474,1.421052632,69,54
13,3,1,0,H,1,1.526315789,38,58,1.736842105,0.9473684211,66,36
12,16,2,0,H,1.157894737,1.473684211,44,56,1.289473684,1.631578947,49,62
17,15,2,1,H,1.078947368,1.763157895,41,67,1.026315789,1.421052632,39,54
18,20,0,0,D,1.052631579,1.710526316,40,65,0.6842105263,1.973684211,26,75
4,13,1,0,H,1.815789474,1.421052632,69,54,1,1.526315789,38,58
5,10,2,1,H,1.763157895,1.078947368,67,41,1.131578947,1.315789474,43,50
6,19,1,1,D,1.605263158,1.236842105,61,47,0.9473684211,1.684210526,36,64
7,11,1,1,D,1.342105263,1.052631579,51,40,1.342105263,1.578947368,51,60
14,2,0,2,A,0.8157894737,1.315789474,31,50,2.684210526,0.9210526316,102,35
3,1,1,1,D,1.736842105,0.9473684211,66,36,2.236842105,0.8684210526,85,33
9,8,1,0,H,1.026315789,1.026315789,39,39,1.473684211,1.263157895,56,48
11,5,0,9,A,1.342105263,1.578947368,51,60,1.763157895,1.078947368,67,41
2,17,3,0,H,2.684210526,0.9210526316,102,35,1.078947368,1.763157895,41,67
15,12,3,2,H,1.026315789,1.421052632,39,54,1.157894737,1.473684211,44,56
19,18,0,0,D,0.9473684211,1.684210526,36,64,1.052631579,1.710526316,40,65
16,9,1,1,D,1.289473684,1.631578947,49,62,1.026315789,1.026315789,39,39
10,4,2,4,A,1.131578947,1.315789474,43,50,1.815789474,1.421052632,69,54
13,7,1,1,D,1,1.526315789,38,58,1.342105263,1.052631579,51,40
8,14,2,2,D,1.473684211,1.263157895,56,48,0.8157894737,1.315789474,31,50
1,6,2,1,H,2.236842105,0.8684210526,85,33,1.605263158,1.236842105,61,47
20,3,1,3,A,0.6842105263,1.973684211,26,75,1.736842105,0.9473684211,66,36
18,3,1,0,H,1.052631579,1.710526316,40,65,1.736842105,0.9473684211,66,36
8,7,1,1,D,1.473684211,1.263157895,56,48,1.342105263,1.052631579,51,40
17,1,1,2,A,1.078947368,1.763157895,41,67,2.236842105,0.8684210526,85,33
15,20,2,0,H,1.026315789,1.421052632,39,54,0.6842105263,1.973684211,26,75
2,11,2,1,H,2.684210526,0.9210526316,102,35,1.342105263,1.578947368,51,60
9,10,3,0,H,1.026315789,1.026315789,39,39,1.131578947,1.315789474,43,50
16,13,2,3,A,1.289473684,1.631578947,49,62,1,1.526315789,38,58
19,4,1,2,A,0.9473684211,1.684210526,36,64,1.815789474,1.421052632,69,54
14,5,0,2,A,0.8157894737,1.315789474,31,50,1.763157895,1.078947368,67,41
12,6,1,1,D,1.157894737,1.473684211,44,56,1.605263158,1.236842105,61,47
20,19,0,2,A,0.6842105263,1.973684211,26,75,0.9473684211,1.684210526,36,64
4,14,2,0,H,1.815789474,1.421052632,69,54,0.8157894737,1.315789474,31,50
10,16,3,0,H,1.131578947,1.315789474,43,50,1.289473684,1.631578947,49,62
13,18,2,1,H,1,1.526315789,38,58,1.052631579,1.710526316,40,65
11,12,1,2,A,1.342105263,1.578947368,51,60,1.157894737,1.473684211,44,56
6,9,1,1,D,1.605263158,1.236842105,61,47,1.026315789,1.026315789,39,39
5,8,2,0,H,1.763157895,1.078947368,67,41,1.473684211,1.263157895,56,48
3,15,3,1,H,1.736842105,0.9473684211,66,36,1.026315789,1.421052632,39,54
7,17,2,1,H,1.342105263,1.052631579,51,40,1.078947368,1.763157895,41,67
1,2,3,1,H,2.236842105,0.8684210526,85,33,2.684210526,0.9210526316,102,35
16,6,2,3,A,1.289473684,1.631578947,49,62,1.605263158,1.236842105,61,47
8,11,2,2,D,1.473684211,1.263157895,56,48,1.342105263,1.578947368,51,60
18,7,1,2,A,1.052631579,1.710526316,40,65,1.342105263,1.052631579,51,40
15,5,0,2,A,1.026315789,1.421052632,39,54,1.763157895,1.078947368,67,41
14,1,1,2,A,0.8157894737,1.315789474,31,50,2.236842105,0.8684210526,85,33
12,20,0,2,A,1.157894737,1.473684211,44,56,0.6842105263,1.973684211,26,75
19,10,0,3,A,0.9473684211,1.684210526,36,64,1.131578947,1.315789474,43,50
2,4,2,1,H,2.684210526,0.9210526316,102,35,1.815789474,1.421052632,69,54
9,3,3,3,D,1.026315789,1.026315789,39,39,1.736842105,0.9473684211,66,36
17,13,2,0,H,1.078947368,1.763157895,41,67,1,1.526315789,38,58
13,2,2,2,D,1,1.526315789,38,58,2.684210526,0.9210526316,102,35
10,14,0,2,A,1.131578947,1.315789474,43,50,0.8157894737,1.315789474,31,50
4,16,0,1,A,1.815789474,1.421052632,69,54,1.289473684,1.631578947,49,62
1,15,2,1,H,2.236842105,0.8684210526,85,33,1.026315789,1.421052632,39,54
6,18,3,2,H,1.605263158,1.236842105,61,47,1.052631579,1.710526316,40,65
11,19,2,1,H,1.342105263,1.578947368,51,60,0.9473684211,1.684210526,36,64
20,8,2,2,D,0.6842105263,1.973684211,26,75,1.473684211,1.263157895,56,48
7,9,1,1,D,1.342105263,1.052631579,51,40,1.026315789,1.026315789,39,39
5,12,2,1,H,1.763157895,1.078947368,67,41,1.157894737,1.473684211,44,56
3,17,2,2,D,1.736842105,0.9473684211,66,36,1.078947368,1.763157895,41,67
14,18,1,0,H,0.8157894737,1.315789474,31,50,1.052631579,1.710526316,40,65
10,2,1,4,A,1.131578947,1.315789474,43,50,2.684210526,0.9210526316,102,35
4,17,2,1,H,1.815789474,1.421052632,69,54,1.078947368,1.763157895,41,67
5,19,2,0,H,1.763157895,1.078947368,67,41,0.9473684211,1.684210526,36,64
3,6,2,1,H,1.736842105,0.9473684211,66,36,1.605263158,1.236842105,61,47
11,20,2,1,H,1.342105263,1.578947368,51,60,0.6842105263,1.973684211,26,75
7,16,2,0,H,1.342105263,1.052631579,51,40,1.289473684,1.631578947,49,62
1,12,5,2,H,2.236842105,0.8684210526,85,33,1.157894737,1.473684211,44,56
9,13,0,2,A,1.026315789,1.026315789,39,39,1,1.526315789,38,58
8,15,1,2,A,1.473684211,1.263157895,56,48,1.026315789,1.421052632,39,54
12,4,3,1,H,1.157894737,1.473684211,44,56,1.815789474,1.421052632,69,54
18,1,0,3,A,1.052631579,1.710526316,40,65,2.236842105,0.8684210526,85,33
6,10,5,0,H,1.605263158,1.236842105,61,47,1.131578947,1.315789474,43,50
19,14,0,0,D,0.9473684211,1.684210526,36,64,0.8157894737,1.315789474,31,50
2,3,1,2,A,2.684210526,0.9210526316,102,35,1.736842105,0.9473684211,66,36
17,5,1,4,A,1.078947368,1.763157895,41,67,1.763157895,1.078947368,67,41
13,11,2,1,H,1,1.526315789,38,58,1.342105263,1.578947368,51,60
20,9,1,2,A,0.6842105263,1.973684211,26,75,1.026315789,1.026315789,39,39
15,7,2,2,D,1.026315789,1.421052632,39,54,1.342105263,1.052631579,51,40
16,8,1,3,A,1.289473684,1.631578947,49,62,1.473684211,1.263157895,56,48
1,19,2,0,H,2.236842105,0.8684210526,85,33,0.9473684211,1.684210526,36,64
10,13,1,0,H,1.131578947,1.315789474,43,50,1,1.526315789,38,58
4,18,0,1,A,1.815789474,1.421052632,69,54,1.052631579,1.710526316,40,65
5,20,1,1,D,1.763157895,1.078947368,67,41,0.6842105263,1.973684211,26,75
9,17,2,0,H,1.026315789,1.026315789,39,39,1.078947368,1.763157895,41,67
11,16,0,1,A,1.342105263,1.578947368,51,60,1.289473684,1.631578947,49,62
3,12,1,1,D,1.736842105,0.9473684211,66,36,1.157894737,1.473684211,44,56
7,6,1,2,A,1.342105263,1.052631579,51,40,1.605263158,1.236842105,61,47
8,2,0,3,A,1.473684211,1.263157895,56,48,2.684210526,0.9210526316,102,35
14,15,1,1,D,0.8157894737,1.315789474,31,50,1.026315789,1.421052632,39,54
12,8,0,0,D,1.157894737,1.473684211,44,56,1.473684211,1.263157895,56,48
17,11,1,3,A,1.078947368,1.763157895,41,67,1.342105263,1.578947368,51,60
18,10,0,1,A,1.052631579,1.710526316,40,65,1.131578947,1.315789474,43,50
15,9,0,1,A,1.026315789,1.421052632,39,54,1.026315789,1.026315789,39,39
13,14,1,0,H,1,1.526315789,38,58,0.8157894737,1.315789474,31,50
20,7,1,2,A,0.6842105263,1.973684211,26,75,1.342105263,1.052631579,51,40
2,5,3,1,H,2.684210526,0.9210526316,102,35,1.763157895,1.078947368,67,41
19,3,2,0,H,0.9473684211,1.684210526,36,64,1.736842105,0.9473684211,66,36
6,4,0,2,A,1.605263158,1.236842105,61,47,1.815789474,1.421052632,69,54
6,15,2,1,H,1.605263158,1.236842105,61,47,1.026315789,1.421052632,39,54
17,20,1,0,H,1.078947368,1.763157895,41,67,0.6842105263,1.973684211,26,75
18,8,1,1,D,1.052631579,1.710526316,40,65,1.473684211,1.263157895,56,48
4,11,0,2,A,1.815789474,1.421052632,69,54,1.342105263,1.578947368,51,60
14,16,2,1,H,0.8157894737,1.315789474,31,50,1.289473684,1.631578947,49,62
12,10,1,0,H,1.157894737,1.473684211,44,56,1.131578947,1.315789474,43,50
9,19,1,1,D,1.026315789,1.026315789,39,39,0.9473684211,1.684210526,36,64
3,13,4,1,H,1.736842105,0.9473684211,66,36,1,1.526315789,38,58
5,1,0,4,A,1.763157895,1.078947368,67,41,2.236842105,0.8684210526,85,33
7,2,3,2,H,1.342105263,1.052631579,51,40,2.684210526,0.9210526316,102,35
15,18,2,0,H,1.026315789,1.421052632,39,54,1.052631579,1.710526316,40,65
13,12,1,2,A,1,1.526315789,38,58,1.157894737,1.473684211,44,56
11,14,1,1,D,1.342105263,1.578947368,51,60,0.8157894737,1.315789474,31,50
19,17,3,0,H,0.9473684211,1.684210526,36,64,1.078947368,1.763157895,41,67
20,6,2,2,D,0.6842105263,1.973684211,26,75,1.605263158,1.236842105,61,47
16,5,1,2,A,1.289473684,1.631578947,49,62,1.763157895,1.078947368,67,41
10,3,0,2,A,1.131578947,1.315789474,43,50,1.736842105,0.9473684211,66,36
8,4,1,2,A,1.473684211,1.263157895,56,48,1.815789474,1.421052632,69,54
1,7,1,0,H,2.236842105,0.8684210526,85,33,1.342105263,1.052631579,51,40
2,9,2,0,H,2.684210526,0.9210526316,102,35,1.026315789,1.026315789,39,39
15,4,1,1,D,1.026315789,1.421052632,39,54,1.815789474,1.421052632,69,54
10,17,1,2,A,1.131578947,1.315789474,43,50,1.078947368,1.763157895,41,67
13,5,0,3,A,1,1.526315789,38,58,1.763157895,1.078947368,67,41
11,6,1,0,H,1.342105263,1.578947368,51,60,1.605263158,1.236842105,61,47
19,7,2,1,H,0.9473684211,1.684210526,36,64,1.342105263,1.052631579,51,40
2,12,2,1,H,2.684210526,0.9210526316,102,35,1.157894737,1.473684211,44,56
20,14,1,1,D,0.6842105263,1.973684211,26,75,0.8157894737,1.315789474,31,50
16,18,4,0,H,1.289473684,1.631578947,49,62,1.052631579,1.710526316,40,65
8,3,2,0,H,1.473684211,1.263157895,56,48,1.736842105,0.9473684211,66,36
1,9,2,0,H,2.236842105,0.8684210526,85,33,1.026315789,1.026315789,39,39
9,16,1,0,H,1.026315789,1.026315789,39,39,1.289473684,1.631578947,49,62
14,8,1,1,D,0.8157894737,1.315789474,31,50,1.473684211,1.263157895,56,48
4,10,3,0,H,1.815789474,1.421052632,69,54,1.131578947,1.315789474,43,50
12,15,1,0,H,1.157894737,1.473684211,44,56,1.026315789,1.421052632,39,54
5,11,1,2,A,1.763157895,1.078947368,67,41,1.342105263,1.578947368,51,60
3,20,4,0,H,1.736842105,0.9473684211,66,36,0.6842105263,1.973684211,26,75
7,13,1,1,D,1.342105263,1.052631579,51,40,1,1.526315789,38,58
6,1,0,1,A,1.605263158,1.236842105,61,47,2.236842105,0.8684210526,85,33
18,19,0,3,A,1.052631579,1.710526316,40,65,0.9473684211,1.684210526,36,64
17,2,1,6,A,1.078947368,1.763157895,41,67,2.684210526,0.9210526316,102,35
19,6,0,0,D,0.9473684211,1.684210526,36,64,1.605263158,1.236842105,61,47
8,9,1,1,D,1.473684211,1.263157895,56,48,1.026315789,1.026315789,39,39
15,17,1,1,D,1.026315789,1.421052632,39,54,1.078947368,1.763157895,41,67
2,14,2,2,D,2.684210526,0.9210526316,102,35,0.8157894737,1.315789474,31,50
20,18,1,0,H,0.6842105263,1.973684211,26,75,1.052631579,1.710526316,40,65
11,7,2,3,A,1.342105263,1.578947368,51,60,1.342105263,1.052631579,51,40
16,12,1,1,D,1.289473684,1.631578947,49,62,1.157894737,1.473684211,44,56
13,4,1,0,H,1,1.526315789,38,58,1.815789474,1.421052632,69,54
10,5,2,1,H,1.131578947,1.315789474,43,50,1.763157895,1.078947368,67,41
1,3,2,0,H,2.236842105,0.8684210526,85,33,1.736842105,0.9473684211,66,36
17,19,2,1,H,1.078947368,1.763157895,41,67,0.9473684211,1.684210526,36,64
18,15,3,1,H,1.052631579,1.710526316,40,65,1.026315789,1.421052632,39,54
14,11,0,2,A,0.8157894737,1.315789474,31,50,1.342105263,1.578947368,51,60
12,13,2,2,D,1.157894737,1.473684211,44,56,1,1.526315789,38,58
9,2,0,1,A,1.026315789,1.026315789,39,39,2.684210526,0.9210526316,102,35
4,8,2,2,D,1.815789474,1.421052632,69,54,1.473684211,1.263157895,56,48
5,16,4,1,H,1.763157895,1.078947368,67,41,1.289473684,1.631578947,49,62
6,20,2,1,H,1.605263158,1.236842105,61,47,0.6842105263,1.973684211,26,75
3,10,0,2,A,1.736842105,0.9473684211,66,36,1.131578947,1.315789474,43,50
7,1,1,2,A,1.342105263,1.052631579,51,40,2.236842105,0.8684210526,85,33
16,1,0,2,A,1.289473684,1.631578947,49,62,2.236842105,0.8684210526,85,33
5,4,2,2,D,1.763157895,1.078947368,67,41,1.815789474,1.421052632,69,54
18,17,2,1,H,1.052631579,1.710526316,40,65,1.078947368,1.763157895,41,67
14,9,0,1,A,0.8157894737,1.315789474,31,50,1.026315789,1.026315789,39,39
1,11,4,0,H,2.236842105,0.8684210526,85,33,1.342105263,1.578947368,51,60
13,20,0,0,D,1,1.526315789,38,58,0.6842105263,1.973684211,26,75
19,12,2,3,A,0.9473684211,1.684210526,36,64,1.157894737,1.473684211,44,56
16,15,3,3,D,1.289473684,1.631578947,49,62,1.026315789,1.421052632,39,54
3,7,0,0,D,1.736842105,0.9473684211,66,36,1.342105263,1.052631579,51,40
10,8,0,0,D,1.131578947,1.315789474,43,50,1.473684211,1.263157895,56,48
6,2,2,0,H,1.605263158,1.236842105,61,47,2.684210526,0.9210526316,102,35
12,14,3,1,H,1.157894737,1.473684211,44,56,0.8157894737,1.315789474,31,50
15,19,1,1,D,1.026315789,1.421052632,39,54,0.9473684211,1.684210526,36,64
9,18,2,1,H,1.026315789,1.026315789,39,39,1.052631579,1.710526316,40,65
7,5,0,0,D,1.342105263,1.052631579,51,40,1.763157895,1.078947368,67,41
11,10,1,2,A,1.342105263,1.578947368,51,60,1.131578947,1.315789474,43,50
20,1,0,1,A,0.6842105263,1.973684211,26,75,2.236842105,0.8684210526,85,33
17,6,2,3,A,1.078947368,1.763157895,41,67,1.605263158,1.236842105,61,47
8,13,4,0,H,1.473684211,1.263157895,56,48,1,1.526315789,38,58
4,3,0,2,A,1.815789474,1.421052632,69,54,1.736842105,0.9473684211,66,36
2,16,2,0,H,2.684210526,0.9210526316,102,35,1.289473684,1.631578947,49,62
